ID, Amp, Shift, Voltage, Temp, Humidity 
10,10144,6.74,12.35,17.59785,68.98451
11,10166,6.74,12.35,17.57915,68.92958
12,10161,6.74,12.35,17.57915,68.89754
13,10160,6.74,12.34,17.57915,68.92958
14,10144,6.74,12.35,17.59785,68.91127
15,10146,6.74,12.35,17.5658,68.91585
16,10151,6.74,12.34,17.5658,68.89601
17,10149,6.74,12.34,17.57915,68.86855
18,10174,6.74,12.34,17.59785,68.85939
19,10166,6.74,12.33,17.59785,68.85024
20,10142,6.74,12.33,17.59785,68.83803
21,10122,6.74,12.32,17.5658,68.83345
22,10128,6.74,12.32,17.59785,68.82887
23,10118,6.74,12.32,17.57915,68.80599
24,10139,6.74,12.32,17.5658,68.8243
25,10134,6.74,12.31,17.6112,68.79073
26,10135,6.74,12.31,17.57915,68.7953
27,10100,6.74,12.31,17.57915,68.7831
28,10078,6.74,12.31,17.59785,68.79683
29,10083,6.74,12.31,17.5658,68.80446
30,10115,6.74,12.31,17.57915,68.80599
31,10126,6.74,12.32,17.57915,68.7953
32,10123,6.74,12.31,17.5658,68.74037
33,10131,6.74,12.31,17.5658,68.77242
34,10129,6.74,12.31,17.57915,68.77394
35,10135,6.74,12.31,17.57915,68.7953
36,10132,6.74,12.31,17.57915,68.77394
37,10159,6.74,12.31,17.57915,68.76326
38,10181,6.74,12.31,17.57915,68.80599
39,10175,6.73,12.31,17.59785,68.77699
40,10172,6.73,12.32,17.59785,68.79683
41,10147,6.73,12.31,17.57915,68.7831
42,10135,6.73,12.31,17.57915,68.7831
43,10139,6.73,12.31,17.5658,68.78157
44,10101,6.73,12.31,17.57915,68.75411
45,10099,6.73,12.31,17.57915,68.80599
46,10101,6.74,12.32,17.57915,68.7953
47,10093,6.74,12.31,17.57915,68.80599
48,10064,6.73,12.31,17.57915,68.82735
49,10043,6.74,12.31,17.57915,68.81514
50,10046,6.74,12.31,17.59785,68.81819
51,10080,6.74,12.3,17.5658,68.85481
52,10080,6.74,12.3,17.5658,68.86549
53,10069,6.74,12.3,17.57915,68.89754
54,10105,6.73,12.3,17.5658,68.87465
55,10083,6.73,12.3,17.57915,68.92958
56,10069,6.73,12.3,17.59785,68.93263
57,10079,6.73,12.3,17.5658,68.97994
58,10104,6.73,12.31,17.5658,68.93874
59,10130,6.73,12.31,17.55245,68.94637
60,10127,6.73,12.3,17.55245,68.95705
61,10099,6.73,12.31,17.5658,68.9601
62,10106,6.73,12.31,17.5658,68.98909
63,10112,6.73,12.3,17.5658,68.96925
64,10109,6.73,12.31,17.5658,68.94789
65,10129,6.73,12.3,17.55245,68.95705
66,10130,6.73,12.3,17.57915,68.94179
67,10104,6.73,12.3,17.55245,68.9662
68,10106,6.73,12.3,17.5658,68.94789
69,10082,6.73,12.3,17.5658,68.93874
70,10086,6.74,12.3,17.55245,68.90517
71,10107,6.74,12.3,17.5658,68.91585
72,10081,6.74,12.31,17.55245,68.91432
73,10083,6.74,12.31,17.5658,68.93874
74,10071,6.74,12.31,17.57915,68.89754
75,10074,6.73,12.31,17.5658,68.87465
76,10089,6.73,12.32,17.5658,68.85481
77,10101,6.73,12.32,17.5658,68.83345
78,10107,6.73,12.33,17.5658,68.84566
79,10131,6.73,12.33,17.5658,68.80446
80,10116,6.73,12.33,17.57915,68.7831
81,10119,6.73,12.33,17.57915,68.75411
82,10130,6.73,12.33,17.55245,68.74953
83,10123,6.73,12.32,17.55245,68.75868
84,10136,6.73,12.33,17.5391,68.72664
85,10122,6.73,12.32,17.5658,68.76021
86,10114,6.73,12.32,17.5658,68.78157
87,10096,6.73,12.31,17.5391,68.79683
88,10089,6.73,12.31,17.5391,68.80904
89,10086,6.73,12.3,17.55245,68.75868
90,10101,6.73,12.31,17.5391,68.77699
91,10099,6.73,12.31,17.5391,68.71443
92,10118,6.73,12.31,17.5658,68.76021
93,10129,6.73,12.32,17.52308,68.74495
94,10134,6.73,12.31,17.5391,68.72664
95,10122,6.73,12.32,17.55245,68.71748
96,10127,6.73,12.32,17.5391,68.76784
97,10143,6.73,12.32,17.55245,68.76936
98,10144,6.73,12.32,17.5391,68.78767
99,10149,6.73,12.32,17.52308,68.78615
100,10148,6.73,12.32,17.55245,68.82277
101,10150,6.73,12.32,17.5391,68.80904
102,10135,6.73,12.32,17.52308,68.8365
103,10132,6.73,12.32,17.5658,68.84566
104,10109,6.73,12.32,17.55245,68.88381
105,10096,6.73,12.32,17.55245,68.86397
106,10072,6.73,12.32,17.5391,68.86092
107,10092,6.73,12.32,17.55245,68.925
108,10094,6.73,12.32,17.52308,68.95094
109,10080,6.73,12.33,17.52308,68.97078
110,10080,6.73,12.33,17.5391,68.96468
111,10058,6.73,12.33,17.55245,68.9662
112,10057,6.73,12.33,17.55245,68.98757
113,10049,6.73,12.33,17.5391,68.97536
114,10074,6.73,12.34,17.55245,68.95705
115,10090,6.73,12.33,17.55245,68.99825
116,10102,6.73,12.34,17.55245,69.0074
117,10099,6.73,12.34,17.55245,69.02876
118,10101,6.73,12.34,17.5391,69.00588
119,10115,6.73,12.34,17.5658,69.01045
120,10106,6.73,12.34,17.55245,69.02876
121,10100,6.73,12.33,17.5658,69.0013
122,10116,6.73,12.33,17.5391,68.95552
