ID, Amp, Shift, Vlotage, Temp, Humidity 
0, 37, 0.76, 1.22, 17.83551, 80.67293 
1, 75, 1.51, 2.43, 17.86221, 80.65003 
2, 113, 2.27, 3.65, 17.84886, 80.66683 
3, 150, 3.02, 4.87, 17.86221, 80.68972 
4, 187, 3.78, 6.09, 17.86221, 80.65003 
5, 226, 4.54, 7.31, 17.83551, 80.66377 
6, 263, 5.29, 8.53, 17.82216, 80.64088 
7, 301, 6.05, 9.75, 17.84886, 80.65766 
8, 339, 6.8, 10.97, 17.84886, 80.66683 
9, 376, 7.56, 12.19, 17.86221, 80.65919 
10, 377, 7.56, 12.18, 17.84886, 80.65766 
11, 377, 7.56, 12.19, 17.83551, 80.64393 
12, 377, 7.56, 12.18, 17.82216, 80.66224 
13, 378, 7.56, 12.18, 17.79279, 80.60426 
14, 378, 7.56, 12.18, 17.83551, 80.64393 
15, 377, 7.56, 12.17, 17.84886, 80.66683 
16, 376, 7.56, 12.18, 17.84886, 80.60731 
17, 377, 7.56, 12.17, 17.84886, 80.60731 
18, 377, 7.56, 12.17, 17.83551, 80.62257 
19, 376, 7.56, 12.17, 17.82216, 80.59968 
20, 376, 7.56, 12.17, 17.83551, 80.61341 
1, 375, 7.56, 12.16, 17.83551, 80.59358 
2, 375, 7.55, 12.16, 17.80614, 80.57679 
3, 375, 7.55, 12.16, 17.82216, 80.57069 
4, 375, 7.55, 12.16, 17.82216, 80.57069 
5, 376, 7.55, 12.15, 17.82216, 80.57984 
6, 376, 7.55, 12.14, 17.82216, 80.57069 
7, 375, 7.55, 12.14, 17.82216, 80.57984 
8, 375, 7.55, 12.14, 17.83551, 80.60273 
9, 376, 7.55, 12.13, 17.80614, 80.55696 
10, 376, 7.55, 12.13, 17.83551, 80.57221 
11, 377, 7.55, 12.13, 17.82216, 80.59052 
12, 377, 7.55, 12.13, 17.84886, 80.58595 
13, 377, 7.55, 12.13, 17.80614, 80.57679 
14, 377, 7.55, 12.12, 17.83551, 80.60273 
15, 377, 7.55, 12.12, 17.83551, 80.63478 
16, 377, 7.55, 12.12, 17.82216, 80.59052 
17, 378, 7.55, 12.11, 17.80614, 80.60731 
18, 378, 7.55, 12.11, 17.83551, 80.59358 
19, 378, 7.55, 12.11, 17.82216, 80.62104 
20, 378, 7.55, 12.11, 17.79279, 80.58442 
1, 378, 7.55, 12.11, 17.79279, 80.61341 
2, 378, 7.55, 12.12, 17.80614, 80.58595 
3, 377, 7.55, 12.11, 17.80614, 80.62715 
4, 377, 7.55, 12.12, 17.82216, 80.64088 
5, 378, 7.55, 12.12, 17.79279, 80.62562 
6, 377, 7.55, 12.12, 17.80614, 80.6363 
7, 377, 7.55, 12.13, 17.79279, 80.63478 
8, 377, 7.55, 12.13, 17.82216, 80.62104 
9, 377, 7.55, 12.13, 17.80614, 80.6363 
10, 377, 7.55, 12.13, 17.80614, 80.64851 
11, 377, 7.55, 12.13, 17.79279, 80.65461 
12, 376, 7.55, 12.13, 17.80614, 80.62715 
13, 377, 7.55, 12.13, 17.82216, 80.66224 
14, 377, 7.55, 12.13, 17.80614, 80.61646 
15, 377, 7.55, 12.13, 17.80614, 80.64851 
16, 376, 7.55, 12.13, 17.80614, 80.58595 
17, 376, 7.55, 12.12, 17.79279, 80.56306 
18, 376, 7.55, 12.12, 17.79279, 80.62562 
19, 376, 7.55, 12.12, 17.80614, 80.61646 
20, 376, 7.55, 12.12, 17.80614, 80.61646 
1, 376, 7.55, 12.12, 17.79279, 80.57221 
2, 377, 7.55, 12.12, 17.77944, 80.58137 
3, 377, 7.55, 12.11, 17.82216, 80.57984 
4, 376, 7.55, 12.11, 17.79279, 80.58442 
5, 376, 7.55, 12.12, 17.77944, 80.58137 
6, 377, 7.55, 12.11, 17.77944, 80.54933 
7, 377, 7.55, 12.12, 17.76608, 80.56764 
8, 377, 7.55, 12.11, 17.79279, 80.60426 
9, 378, 7.55, 12.11, 17.77944, 80.57069 
10, 377, 7.55, 12.11, 17.80614, 80.58595 
11, 377, 7.55, 12.11, 17.77944, 80.58137 
12, 376, 7.55, 12.11, 17.76608, 80.56764 
13, 375, 7.55, 12.11, 17.76608, 80.62715 
14, 376, 7.55, 12.11, 17.76608, 80.61799 
15, 376, 7.55, 12.1, 17.77944, 80.63172 
16, 376, 7.55, 12.1, 17.76608, 80.59815 
17, 375, 7.55, 12.1, 17.76608, 80.60884 
18, 375, 7.55, 12.11, 17.77944, 80.62104 
19, 375, 7.55, 12.11, 17.77944, 80.63172 
20, 375, 7.55, 12.11, 17.77944, 80.63172 
1, 375, 7.55, 12.11, 17.76608, 80.589 
2, 375, 7.55, 12.11, 17.75006, 80.62562 
3, 375, 7.55, 12.1, 17.76608, 80.60884 
4, 375, 7.55, 12.11, 17.75006, 80.60426 
5, 376, 7.55, 12.1, 17.75006, 80.5951 
6, 376, 7.55, 12.11, 17.76608, 80.589 
7, 376, 7.55, 12.12, 17.75006, 80.57527 
8, 375, 7.55, 12.11, 17.73671, 80.58137 
9, 375, 7.55, 12.11, 17.75006, 80.5951 
