ID, Amp, Shift, Voltage, Temp, Humidity 
0, 1180, 0.72, 1.24, 21.02121, 58.1674 
1, 2379, 1.44, 2.47, 21.03456, 58.11094 
2, 3554, 2.16, 3.7, 21.06394, 58.04685 
3, 4765, 2.88, 4.94, 21.06394, 57.99801 
4, 5968, 3.6, 6.18, 21.06394, 57.92935 
5, 7141, 4.32, 7.41, 21.06394, 57.95224 
6, 8349, 5.04, 8.64, 21.06394, 57.84695 
7, 9561, 5.76, 9.88, 21.05058, 57.87899 
8, 10732, 6.48, 11.12, 21.05058, 57.90188 
9, 11925, 7.2, 12.35, 21.05058, 57.98428 
10, 11929, 7.2, 12.35, 21.05058, 57.95071 
11, 11942, 7.2, 12.36, 21.06394, 57.94156 
12, 11941, 7.21, 12.35, 21.07729, 57.95529 
13, 11937, 7.2, 12.35, 21.06394, 57.99801 
14, 11943, 7.2, 12.35, 21.07729, 58.04838 
15, 11982, 7.2, 12.35, 21.05058, 58.0438 
16, 11987, 7.2, 12.35, 21.05058, 57.98428 
17, 11986, 7.2, 12.34, 21.06394, 57.91562 
18, 11984, 7.21, 12.33, 21.05058, 57.85611 
19, 11959, 7.2, 12.33, 21.06394, 57.83627 
20, 11942, 7.2, 12.32, 21.07729, 57.79049 
21, 11942, 7.2, 12.33, 21.07729, 57.77829 
22, 11946, 7.2, 12.33, 21.07729, 57.77829 
23, 11906, 7.21, 12.33, 21.09064, 57.73251 
24, 11864, 7.2, 12.33, 21.09064, 57.74472 
25, 11824, 7.2, 12.33, 21.07729, 57.7554 
26, 11778, 7.21, 12.33, 21.09064, 57.73251 
27, 11770, 7.21, 12.34, 21.07729, 57.673 
28, 11811, 7.2, 12.34, 21.09064, 57.67605 
29, 11826, 7.2, 12.34, 21.06394, 57.63485 
30, 11832, 7.2, 12.35, 21.09064, 57.61654 
31, 11833, 7.2, 12.35, 21.09064, 57.55703 
32, 11858, 7.2, 12.35, 21.07729, 57.55703 
33, 11864, 7.21, 12.35, 21.10666, 57.59518 
34, 11883, 7.2, 12.34, 21.12001, 57.52651 
35, 11897, 7.2, 12.34, 21.12001, 57.56313 
36, 11934, 7.2, 12.35, 21.13336, 57.49447 
37, 11924, 7.21, 12.34, 21.13336, 57.48379 
