i0,i1,i2,i3,i4,i5,i6,i7,i8,i9,
-26273.4,-11396.4,8651.602,24753.6,31112.6,25708.6,10521.6,-9015.399,-24876.4,-29186.4,
-671.8984,-19329.9,-28567.9,-28623.9,-19039.9,206.1016,18867.1,29852.1,29412.1,17896.1,
-29006.2,-27833.2,-15721.2,4042.797,21696.8,30662.8,27955.8,14702.8,-4405.203,-22095.2,
-8961.601,10951.4,26135.4,31040.4,24280.4,8228.398,-11279.6,-26008.6,-29250.6,-25135.6,
-16069.9,-27839.9,-29047.9,-21866.9,-3673.898,15690.1,28517.1,30349.1,20770.1,3172.101,
-23528.7,-29163.7,-27111.7,-13566.7,6337.297,23226.3,30911.3,26880.3,12659.3,-6643.703,
-19319.7,-248.7031,18470.3,29646.3,29483.3,18211.3,-138.7031,-18862.7,-28537.7,-28703.7,
-29009.7,-21365.7,-2945.703,16280.3,28782.3,30191.3,20243.3,2489.297,-16634.7,-28030.7,
3508.297,21258.3,30506.3,28138.3,15171.3,-3794.703,-21622.7,-28973.7,-27993.7,-16197.7,
21321.4,30495.4,28130.4,15122.4,-3834.602,-21655.6,-29015.6,-27972.6,-16109.6,3518.398,
19419.4,1414.398,-17508.6,-28239.6,-28894.6,-20535.6,-1823.602,17163.4,29122.4,29882.4,
22172.1,5199.101,-14158.9,-27199.9,-29218.9,-23192.9,-5722.898,13867.1,27608.1,30647.1,
21302.6,3954.601,-15249.4,-27607.4,-29143.4,-22369.4,-4440.399,14957.6,28122.6,30472.6,
3166.898,-15990.1,-27851.1,-29095.1,-21797.1,-3617.102,15683.9,28484.9,30283.9,20730.9,
21381.4,30514.4,27998.4,14960.4,-3989.602,-21691.6,-29043.6,-27920.6,-15912.6,3703.398,
22928.4,6340.398,-12999.6,-26755.6,-29289.6,-23874.6,-6873.601,12738.4,27003.4,30782.4,
8233.703,-11142.3,-25942.3,-29338.29,-24995.3,-8855.296,10915.7,26001.7,30924.7,24197.7,
-10265.3,-25533.3,-29350.3,-25477.3,-9740.297,10048.7,25473.7,30965.7,24733.7,9144.703,
-7736.898,-24146.9,-29304.9,-26615.9,-12269.9,7546.102,23938.1,30877.1,26163.1,11550.1,
12127.7,-7092.297,-23717.3,-29283.3,-26909.3,-12892.3,6903.703,23494.7,30841.7,26526.7,
-5235.898,-22523.9,-29197.9,-27505.9,-14618.9,5050.102,22229.1,30601.1,27382.1,13820.1,
-6378.101,-23286.1,-29296.1,-27132.1,-13550.1,6188.899,23032.9,30764.9,26834.9,12820.9,
-22233.1,-29204.1,-27649.1,-15013.1,4602.899,21935.9,30569.9,27551.9,14202.9,-4764.102,
-28846.6,-28495.6,-17898.6,1288.398,19496.4,29869.4,28834.4,16993.4,-1468.602,-19772.6,
-20656.8,-29001.8,-28235.8,-16887.8,2477.203,20363.2,30152.2,28411.2,16013.2,-2634.797,
-28944.9,-20027.9,-1391.899,17380.1,29106.1,29615.1,19056.1,1143.102,-17609.9,-28325.9,
-27941.7,-29183.7,-21300.7,-3079.703,15964.3,28508.3,30063.3,20321.3,2795.297,-16146.7,
-29110.4,-20850.4,-2460.398,16509.6,28712.6,29891.6,19885.6,2209.602,-16688.4,-28099.4,
-29149.5,-20841.5,-2458.5,16484.5,28695.5,29932.5,19876.5,2208.5,-16640.5,-28107.5,
-29367.6,-22754.6,-5194.602,14176.4,27648.4,30474.4,21799.4,4846.398,-14312.6,-27315.6,
-29472.9,-23850.9,-6996.899,12535.1,26797.1,30685.1,22974.1,6573.101,-12653.9,-26589.9,
-29536.5,-24692.5,-8337.501,11275.5,26126.5,30815.5,23878.5,7884.5,-11364.5,-26049.5,
-29547.0,-25625.0,-10119.0,9549.0,25076.0,30861.0,24939.0,9607.0,-9608.0,-25133.0,
-29472.2,-26515.2,-12025.2,7634.797,23892.8,30772.8,26023.8,11434.8,-7706.203,-24040.2,
-29334.4,-27609.4,-14660.4,4944.602,22131.6,30546.6,27387.6,13937.6,-5003.398,-22340.4,
-27462.6,-14247.6,5378.398,22476.4,30656.4,27250.4,13540.4,-5465.601,-22666.6,-29459.6,
-29200.7,-28281.7,-16641.7,2769.297,20579.3,30230.3,28360.3,15833.3,-2868.703,-20779.7,
-29154.3,-28337.3,-16918.3,2437.703,20339.7,30116.7,28460.7,16104.7,-2514.297,-20535.3,
-29243.3,-20701.3,-2238.297,16682.7,28824.7,29898.7,19751.7,2041.703,-16784.3,-28232.3,
-28037.0,-29283.0,-21233.0,-2993.0,16060.0,28524.0,30045.0,20290.0,2766.0,-16139.0,
-28005.9,-29290.9,-21203.9,-2969.898,16040.1,28488.1,30046.1,20275.1,2751.101,-16129.9,
-26446.7,-29562.7,-24156.7,-7425.703,12123.3,26543.3,30687.3,23322.3,7060.297,-12144.7,
-29601.3,-25722.3,-10291.3,9424.704,24950.7,30845.7,25046.7,9797.703,-9424.296,-25026.3,
-29516.2,-27234.2,-13686.2,5908.797,22710.8,30607.8,26906.8,13071.8,-5896.203,-22873.2,
-22371.0,-29438.0,-27522.0,-14409.0,5136.0,22175.0,30496.0,27281.0,13777.0,-5125.0,
-28962.9,-28627.9,-17895.9,1182.102,19289.1,29735.1,28838.1,17106.1,-1219.898,-19443.9,
-28853.1,-28731.1,-18241.1,764.8984,18971.9,29606.9,28981.9,17421.9,-813.1016,-19109.1,
-28708.3,-28912.3,-18957.3,-157.2969,18245.7,29365.7,29254.7,18121.7,112.7031,-18365.3,
-15871.7,-27903.7,-29329.7,-21238.7,-3133.703,15795.3,28333.3,29975.3,20370.3,3003.297,
-13535.3,-27011.3,-29557.3,-23030.3,-5771.297,13496.7,27221.7,30425.7,22213.7,5547.703,
-10512.6,-25591.6,-29643.6,-25002.6,-9041.602,10489.4,25587.4,30734.4,24283.4,8697.398,
30574.6,26895.6,13084.6,-5810.399,-22770.4,-29519.4,-27236.4,-13653.4,5818.602,22616.6,
-21624.8,-29362.79,-27768.8,-15157.8,4206.203,21449.2,30278.2,27594.2,14555.2,-4168.797,
-28789.4,-28796.4,-18401.4,453.6016,18694.6,29459.6,28990.6,17641.6,-481.3984,-18771.4,
-26588.7,-29629.7,-23670.7,-6822.703,12558.3,26699.3,30543.3,22873.3,6569.297,-12531.7,
-29662.2,-24230.2,-7749.203,11684.8,26209.8,30594.8,23460.8,7452.797,-11633.2,-26128.2,
-29684.7,-25902.7,-10809.7,8755.297,24497.3,30707.29,25319.3,10385.3,-8701.703,-24565.7,
-26625.8,-29622.8,-23582.8,-6668.797,12663.2,26741.2,30500.2,22777.2,6427.203,-12608.8,
14034.4,27443.4,30316.4,21774.4,4977.398,-13980.6,-27194.6,-29558.6,-22614.6,-5197.601,
-18827.3,-64.29688,18261.7,29296.7,29178.7,18045.7,42.70313,-18331.3,-28684.3,-28918.3,
24647.3,30697.3,25164.3,10165.3,-8907.702,-24689.7,-29692.7,-25780.7,-10570.7,8967.297,
18954.2,1210.203,-17328.8,-28438.8,-29124.8,-19745.8,-1261.797,17292.2,28941.2,29502.2,
19622.1,2059.102,-16580.9,-28180.9,-29269.9,-20444.9,-2138.899,16578.1,28639.1,29717.1,
20574.0,3340.0,-15433.0,-27790.0,-29427.0,-21427.0,-3455.0,15468.0,28123.0,30027.0,
30673.2,25368.2,10495.2,-8514.796,-24445.8,-29678.79,-25953.8,-10920.8,8604.203,24373.2,
26686.6,12842.6,-5997.398,-22842.4,-29606.4,-27083.4,-13338.4,6089.602,22746.6,30502.6,
14549.7,-4093.297,-21514.3,-29400.3,-27777.3,-15125.3,4153.703,21400.7,30229.7,27576.7,
28655.2,16826.2,-1432.797,-19470.8,-29008.8,-28565.8,-17524.8,1453.203,19399.2,29669.2,
29683.7,19636.7,2097.703,-16542.3,-28181.3,-29282.3,-20423.3,-2161.297,16574.7,28597.7,
29940.8,20460.8,3238.797,-15537.2,-27820.2,-29425.2,-21276.2,-3320.203,15572.8,28165.8,
30613.2,25080.2,10120.2,-8878.797,-24634.8,-29704.8,-25705.8,-10463.8,8996.203,24578.2,
30468.0,26623.0,12758.0,-6049.0,-22871.0,-29600.0,-27020.0,-13240.0,6159.0,22772.0,
29964.5,28045.5,15565.5,-2866.5,-20576.5,-29230.5,-28146.5,-16165.5,2938.5,20471.5,
29656.7,28551.7,16698.7,-1502.297,-19511.3,-29023.3,-28513.3,-17361.3,1547.703,19456.7,
28036.7,29891.7,20563.7,3438.703,-15325.3,-27723.3,-29409.3,-21343.3,-3508.297,15378.7,
26971.2,30349.2,22314.2,5836.203,-13104.8,-26788.8,-29655.8,-23101.8,-6004.797,13185.2,
12240.3,26442.3,30454.3,22998.3,6878.297,-12101.7,-26319.7,-29707.7,-23781.7,-7102.703,
22611.0,30047.0,26070.0,12358.0,-6173.0,-22612.0,-29394.0,-26558.0,-12700.0,6351.0,
18050.1,25121.1,22774.1,11894.1,-3531.898,-17754.9,-25377.9,-23210.9,-11908.9,3945.102,
16667.8,23549.8,21506.8,11429.8,-2988.203,-16393.2,-23715.2,-21909.2,-11472.2,3323.797,
13378.0,22616.0,23221.0,15187.0,1413.0,-13003.0,-22666.0,-23668.0,-15355.0,-1123.0,
14718.5,29319.5,32536.5,23420.5,5322.5,-15166.5,-28842.5,-30685.5,-24505.5,-6117.5,
3377.102,27551.1,36301.1,35040.1,19845.1,-5813.899,-27859.9,-32839.9,-32767.9,-22832.9,
-1003.398,24383.6,35998.6,35795.6,23359.6,-1548.398,-25549.4,-32662.4,-32978.4,-25795.4,
21952.0,35590.0,36142.0,25758.0,1441.0,-23593.0,-32467.0,-33052.0,-27587.0,-4184.0,
-9797.297,17123.7,34368.7,36337.7,29464.7,6926.703,-19314.3,-31962.3,-33080.3,-30067.3,
-14025.4,13247.6,32943.6,36361.6,31710.6,10975.6,-15560.4,-31269.4,-33012.4,-31371.4,
-17007.8,10280.2,31613.2,36351.2,33006.2,13859.2,-12615.8,-30505.8,-32966.79,-32013.8,
-21256.0,5462.0,28969.0,36320.0,34585.0,18155.0,-7935.0,-28833.0,-32856.0,-32611.0,
-23781.5,2154.5,26813.5,36237.5,35322.5,20929.5,-4728.5,-27356.5,-32749.5,-32841.5,
-25860.4,-1025.398,24463.6,36008.6,35836.6,23435.6,-1649.398,-25633.4,-32605.4,-32970.4,
-26713.2,-2528.203,23299.8,35826.8,35978.8,24575.8,-185.2031,-24734.2,-32519.2,-33001.2,
-27814.8,-4636.797,21623.2,35545.2,36161.2,26125.2,1817.203,-23392.8,-32370.8,-33056.8,
-30166.2,-10190.2,16880.8,34333.8,36318.8,29697.8,7193.797,-19172.2,-31884.2,-33012.2,
-31302.2,-13992.2,13381.8,33054.8,36350.8,31704.8,10852.8,-15783.2,-31295.2,-32972.2,
-32052.1,-17508.1,9793.899,31449.9,36336.9,33245.9,14289.9,-12257.1,-30394.1,-32905.1,
-32580.9,-21564.9,5136.102,28802.1,36314.1,34691.1,18428.1,-7696.898,-28725.9,-32802.9,
-32678.2,-22510.2,3913.797,28081.8,36295.8,34974.8,19441.8,-6516.203,-28232.2,-32771.2,
-25654.6,-682.6015,24806.4,36045.4,35766.4,23168.4,-2089.602,-25890.6,-32567.6,-32901.6,
-32840.2,-24462.2,1177.797,26200.8,36199.8,35487.79,21710.8,-3885.203,-26943.2,-32646.2,
-32981.6,-28600.6,-6143.602,20430.4,35297.4,36258.4,27202.4,3181.398,-22415.6,-32228.6,
-32962.6,-29345.6,-8040.602,18858.4,34904.4,36289.4,28374.4,5026.399,-21022.6,-32081.6,
-32948.4,-29872.4,-9409.398,17656.6,34600.6,36314.6,29207.6,6355.602,-19956.4,-31948.4,
-32899.8,-31196.8,-13653.8,13756.2,33252.2,36333.2,31539.2,10448.2,-16211.8,-31366.8,
-31347.9,-14302.9,13192.1,33005.1,36339.1,31854.1,11064.1,-15666.9,-31251.9,-32884.9,
-32890.4,-31635.4,-15611.4,11874.6,32463.6,36331.6,32437.6,12335.6,-14373.4,-30932.4,
-32780.2,-32350.2,-19940.2,7176.797,30083.8,36321.79,34143.8,16630.8,-9765.203,-29521.2,
-32743.79,-32468.8,-21075.8,5832.203,29291.2,36298.2,34510.2,17841.2,-8454.797,-29029.8,
-32767.3,-32297.3,-19743.3,7428.703,30244.7,36311.7,34063.7,16413.7,-10022.3,-29632.3,
-32699.8,-32558.8,-22095.8,4587.203,28577.2,36285.2,34810.2,18918.2,-7260.797,-28562.8,
-32506.1,-32816.1,-25697.1,-742.1015,24891.9,36046.9,35766.9,23158.9,-2128.102,-25975.1,
-32822.7,-25648.7,-590.7031,24988.3,36062.3,35757.3,23090.3,-2268.703,-26056.7,-32510.7,
-32355.0,-32857.0,-27315.0,-3491.0,22709.0,35739.0,36082.0,25297.0,534.0,-24343.0,
