i0,i1,i2,i3,i4,i5,i6,i7,i8,i9
-1306.398,5898.602,10820.6,11600.6,7973.602,1317.602,-5826.398,-10787.4,-11650.4,-8040.399
2954,-4309,-9950.999,-11812,-9172.999,-2977,4343,10003,11815,9107
-11245.9,-6859.899,191.1016,7110.101,11354.1,11192.1,6789.102,-158.8984,-7060.899,-11310.9
-10119,-4490,2880,9118,11845,10048,4458,-2818,-9065.001,-11857
7751.203,11580.2,10960.2,6206.203,-900.7969,-7665.797,-11564.8,-11033.8,-6264.797,932.2031
10054.9,11871.9,9140.899,2950.898,-4328.102,-10008.1,-11876.1,-9205.101,-2974.102,4372.899
-4980.398,2363.601,8777.602,11806.6,10336.6,4939.601,-2298.398,-8723.399,-11800.4,-10421.4
840.6015,-6267.398,-11028.4,-11579.4,-7684.398,-817.3985,6325.602,11045.6,11531.6,7633.602
-10953.6,-11598.6,-7798.602,-975.6016,6185.399,10979.4,11561.4,7725.399,1002.398,-6127.601
-10022.9,-4268.898,3115.102,9269.102,11885.1,9941.101,4251.101,-3048.898,-9233.898,-11886.9
11585.8,7812.797,1089.797,-6018.203,-10901.2,-11606.2,-7886.203,-1106.203,6100.797,10928.8
-11780,-8653,-2138,5164,10457,11773,8553,2146,-5104,-10418
615,7468,11464,11070,6443,-570,-7408,-11429,-11129,-6524
7624.703,11506.7,10993.7,6318.703,-768.2969,-7546.297,-11480.3,-11059.3,-6371.297,781.7031
-11899.7,-9587.703,-3560.703,3828.297,9722.297,11892.3,9519.298,3542.297,-3764.703,-9691.703
4245.399,-3003.602,-9181.602,-11862.6,-10003.6,-4289.602,3073.398,9217.399,11846.4,9958.399
6297.297,11033.3,11501.3,7590.297,841.2969,-6229.703,-10962.7,-11550.7,-7667.703,-852.7031
-9466.601,-11869.6,-9722.602,-3867.601,3507.398,9492.398,11847.4,9667.398,3837.399,-3425.602
-7346.797,-430.7969,6639.203,11138.2,11404.2,7280.203,438.2031,-6581.797,-11114.8,-11425.8
-8800.703,-11804.7,-10315.7,-4845.703,2471.297,8839.297,11810.3,10268.3,4812.297,-2434.703
10548.6,11700.6,8404.601,1938.601,-5253.398,-10474.4,-11736.4,-8469.398,-1960.399,5301.601
8784.297,11790.3,10279.3,4881.297,-2352.703,-8711.703,-11795.7,-10330.7,-4930.703,2386.297
4225,9935,11816,9207,3109,-4189,-9879.001,-11832,-9273,-3119
5787.899,-1331.102,-7955.101,-11576.1,-10793.1,-5845.102,1348.898,8006.899,11615.9,10740.9
11733.4,10396.4,5135.398,-2084.602,-8513.602,-11725.6,-10470.6,-5180.602,2131.398,8578.399
10312.1,11746.1,8698.101,2396.102,-4851.898,-10234.9,-11766.9,-8786.899,-2391.898,4880.102
-4160.602,-9853.601,-11817.6,-9247.602,-3104.602,4219.398,9910.398,11791.4,9185.398,3077.398
2811.601,9041.602,11798.6,10039.6,4492.601,-2755.399,-8984.398,-11809.4,-10108.4,-4526.399
698.2969,7537.297,11471.3,10973.3,6353.297,-665.7031,-7440.703,-11440.7,-11072.7,-6413.703
9561.297,11813.3,9594.297,3694.297,-3574.703,-9498.703,-11860.7,-9636.703,-3704.703,3612.297
-2569.102,4742.898,10236.9,11798.9,8871.898,2574.898,-4686.101,-10202.1,-11827.1,-8941.101
3057.297,9225.297,11842.3,9946.297,4257.297,-2996.703,-9164.702,-11848.7,-10026.7,-4291.703
172.3984,7125.398,11352.4,11220.4,6843.399,-125.6016,-7068.601,-11350.6,-11285.6,-6883.602
8827.703,11794.7,10256.7,4811.703,-2443.297,-8768.297,-11793.3,-10304.3,-4837.297,2455.703
11096.3,11451.3,7437.297,610.2969,-6433.703,-11084.7,-11501.7,-7469.703,-595.7031,6490.297
11786.9,8604.898,2165.898,-5083.101,-10425.1,-11832.1,-8669.102,-2166.101,5150.898,10466.9
8278.296,1745.297,-5476.703,-10621.7,-11748.7,-8348.703,-1725.703,5520.297,10664.3,11713.3
-2895.703,-9106.704,-11841.7,-10098.7,-4425.703,2931.297,9142.297,11870.3,10020.3,4404.297
