i0,i1,i2,i3,i4,i5,i6,i7,i8,i9,
-10253.0,-11946.0,-9026.999,-2648.0,4747.0,10287.0,11909.0,8970.0,2633.0,-4672.0,
-8561.898,-11853.9,-10614.9,-5270.898,2096.102,8623.101,11843.1,10514.1,5254.102,-2028.898,
3171.0,9372.001,11924.0,9954.0,4210.0,-3111.0,-9295.0,-11968.0,-10035.0,-4222.0,
1043.203,-6124.797,-10996.8,-11688.8,-7871.797,-1041.797,6197.203,11008.2,11636.2,7839.203,
-9304.399,-11994.4,-10076.4,-4276.399,3125.602,9348.601,11965.6,10015.6,4276.601,-3080.398,
-1730.703,-8346.703,-11818.7,-10780.7,-5549.703,1771.297,8409.297,11813.3,10695.3,5537.297,
3296.797,9443.797,11939.8,9926.797,4122.797,-3222.203,-9371.203,-11984.2,-10005.2,-4147.203,
-9050.797,-2665.797,4698.203,10246.2,11904.2,9005.203,2685.203,-4634.797,-10242.8,-11944.8,
6495.703,-633.2969,-7498.296,-11601.3,-11207.3,-6522.297,674.7031,7586.703,11565.7,11139.7,
1146.102,7952.101,11671.1,10942.1,6062.101,-1125.898,-7871.898,-11676.9,-11011.9,-6086.898,
-4819.703,-10319.7,-11933.7,-8927.703,-2496.703,4879.297,10345.3,11868.3,8882.297,2522.297,
-6999.602,-11358.6,-11425.6,-7081.602,20.39844,7048.398,11380.4,11362.4,7022.398,31.39844,
7294.797,11483.8,11272.8,6806.797,-269.2031,-7227.203,-11480.2,-11331.2,-6838.203,287.7969,
-7192.101,-139.1016,6929.898,11305.9,11381.9,7145.898,193.8984,-6861.102,-11310.1,-11455.1,
-11925.2,-10387.2,-4849.203,2527.797,8948.797,11878.8,10309.8,4844.797,-2485.203,-8863.203,
-9025.001,-2622.0,4763.0,10296.0,11887.0,8963.0,2620.0,-4688.0,-10251.0,-11943.0,
11899.3,8901.298,2538.297,-4778.703,-10308.7,-11941.7,-8981.704,-2534.703,4851.297,10355.3,
8321.203,1718.203,-5514.797,-10708.8,-11806.8,-8381.797,-1718.797,5591.203,10732.2,11768.2,
-8999.797,-2610.797,4748.203,10314.2,11901.2,8952.203,2619.203,-4713.797,-10276.8,-11933.8,
9721.203,3817.203,-3550.797,-9572.797,-11984.8,-9786.797,-3813.797,3615.203,9611.203,11944.2,
-6057.398,1186.602,7958.601,11671.6,10929.6,6017.601,-1143.398,-7898.399,-11679.4,-10985.4,
11696.5,10926.5,5977.5,-1196.5,-7946.5,-11713.5,-10981.5,-6023.5,1247.5,8013.499,
-6583.0,580.0,7477.0,11508.0,11147.0,6558.0,-540.0,-7415.0,-11523.0,-11209.0,
-6409.101,-11113.1,-11595.1,-7611.102,-702.1016,6473.898,11109.9,11544.9,7569.898,731.8984,
6750.601,11231.6,11441.6,7283.601,389.6016,-6653.398,-11228.4,-11507.4,-7344.398,-363.3984,
-11932.3,-10017.3,-4277.297,3155.703,9331.703,11906.7,9967.704,4240.703,-3096.297,-9279.297,
-8077.899,-11727.9,-10879.9,-5863.899,1429.102,8148.101,11718.1,10813.1,5823.102,-1381.898,
-8153.102,-1416.102,5839.899,10851.9,11673.9,8101.898,1431.898,-5760.101,-10826.1,-11744.1,
11917.4,9862.399,4040.399,-3300.602,-9404.601,-11957.6,-9929.602,-4046.602,3368.398,9450.398,
3290.398,-4049.602,-9870.602,-11957.6,-9445.601,-3304.602,4109.398,9914.398,11914.4,9399.398,
3682.101,9637.101,11923.1,9671.102,3738.102,-3611.898,-9593.898,-11957.9,-9732.898,-3754.899,
-7716.399,-831.3984,6332.602,11083.6,11577.6,7670.602,861.6015,-6260.398,-11069.4,-11648.4,
-10462.8,-5018.797,2344.203,8779.203,11840.2,10406.2,5011.203,-2291.797,-8726.797,-11880.8,
10881.1,11712.1,8084.102,1378.102,-5810.898,-10829.9,-11763.9,-8131.899,-1395.898,5877.101,
-11959.2,-9664.203,-3634.203,3802.797,9732.797,11932.8,9590.796,3617.797,-3742.203,-9677.203,
-11930.2,-10226.2,-4642.203,2750.797,9082.797,11894.8,10158.8,4618.797,-2694.203,-9013.203,
9567.203,11911.2,9739.203,3856.203,-3482.797,-9504.797,-11946.8,-9804.797,-3861.797,3527.203,
10647.4,5485.399,-1759.602,-8336.601,-11815.6,-10715.6,-5524.601,1817.398,8409.398,11792.4,
11328.9,6989.898,-32.10156,-7037.102,-11356.1,-11389.1,-7025.102,58.89844,7080.898,11380.9,
-5055.0,-10452.0,-11883.0,-8766.0,-2248.0,5088.0,10487.0,11845.0,8717.0,2267.0,
11877.1,8889.102,2509.102,-4809.898,-10328.9,-11910.9,-8951.899,-2524.898,4878.101,10373.1,
11933.4,10048.4,4347.398,-3002.601,-9210.601,-11940.6,-10110.6,-4371.602,3037.398,9269.399,
-1658.0,-8287.0,-11789.0,-10794.0,-5639.0,1697.0,8344.0,11782.0,10747.0,5597.0,
-8855.703,-2341.703,5007.297,10428.3,11849.3,8811.297,2367.297,-4942.703,-10389.7,-11933.7,
-212.0,-7163.0,-11430.0,-11337.0,-6868.999,240.0,7221.0,11435.0,11275.0,6840.0,
5195.102,10545.1,11858.1,8688.102,2199.101,-5109.899,-10512.9,-11924.9,-8736.898,-2200.898,
-2583.297,-8950.297,-11925.3,-10364.3,-4772.297,2623.703,9003.703,11900.7,10297.7,4769.703,
7267.398,316.3984,-6709.602,-11248.6,-11509.6,-7314.601,-290.6016,6788.398,11253.4,11447.4,
-11744.7,-10858.7,-5820.703,1499.297,8201.297,11739.3,10799.3,5788.297,-1453.703,-8149.703,
-5497.203,-10674.2,-11790.2,-8371.203,-1727.203,5553.797,10695.8,11743.8,8323.797,1742.797,
-11682.0,-10944.0,-6030.0,1207.0,7979.0,11672.0,10884.0,6011.0,-1171.0,-7926.0,
-125.165,-94.04004,-15.83569,73.35645,125.0176,90.57129,38.44434,15.23804,-13.94824,-93.61328,
57.88672,28.11279,-18.55713,-63.12207,-131.8379,-120.8877,-47.10889,81.56128,135.123,78.83789,
-23.18457,-56.0752,-107.8369,-107.8486,-38.40186,74.18274,137.0742,104.8359,34.84668,-17.59863,
-10.07742,-59.67773,-98.20411,-117.2705,-56.96045,56.48761,140.0874,103.6113,63.67578,-21.63477,
-101.5078,-4.771484,95.33643,113.8936,65.68945,40.30176,16.56445,-13.53809,-82.09571,-129.8926,
-95.3042,-116.6455,-143.4736,-113.7539,-56.62305,96.30249,181.6435,189.4717,81.75391,-23.37891,
-74.35645,-97.07471,-123.3291,-164.2939,-63.4795,48.76367,146.479,190.7344,136.7012,-0.1152344,
-149.9492,-137.8242,-35.98633,83.94556,189.1572,184.1523,76.02735,-20.81152,-74.74426,-113.9536,
-5.388672,-81.23389,-124.8486,-141.7627,-141.3603,-43.81592,115.0345,192.6494,161.5605,69.15723,
133.0737,158.5859,119.3906,32.76074,-79.12061,-88.07739,-109.5859,-138.3906,-79.75879,51.11866,
22.37818,107.9795,108.5098,75.57422,47.26367,9.821014,-37.7793,-127.3057,-120.3721,-86.06201,
38.74707,-8.860352,-63.67822,-73.99121,-130.2129,-110.3389,1.267578,107.0852,141.3984,98.61915,
156.6704,173.4424,106.5127,14.47168,-57.46606,-99.07519,-140.8486,-135.9189,-61.88282,44.06079,
253.9716,335.1685,228.4551,39.31738,-158.7363,-246.5692,-253.7661,-211.0478,-89.91309,103.1431,
-178.4214,-297.458,-332.4175,-263.5908,-88.91212,137.0166,324.05,393.0098,276.1865,30.50586,
275.8662,122.8437,-66.69239,-191.7639,-244.4856,-240.6621,-151.6406,-5.105469,188.9624,312.6894,
-235.5351,-98.88476,76.68067,235.2379,331.4116,241.9434,86.29102,-142.2744,-235.8324,-259.0034,
349.9553,320.1113,137.8213,-73.31641,-249.2788,-310.5474,-275.7041,-159.415,16.72168,243.6833,
164.1094,325.8414,333.5737,213.5137,-2.125977,-214.706,-280.4391,-278.166,-200.1055,-61.46875,
357.6279,170.3389,-87.61621,-262.3979,-320.063,-298.6269,-209.3389,32.61523,221.3936,396.0639,
207.0859,161.6338,31.69531,-88.92285,-117.8733,-154.6826,-167.2285,-101.2891,48.33545,181.2804,
271.7754,166.3574,-47.23926,-164.7251,-226.005,-254.9785,-166.5605,-17.96582,144.5254,294.8059,
-184.7041,-124.7715,26.53662,167.9819,256.5801,184.1103,56.17676,-70.13086,-130.5778,-181.1738,
-129.4591,-175.727,-194.0518,-105.4141,8.973633,151.6633,253.9311,195.2549,56.61817,-61.76953,
-251.9837,-289.584,-244.1103,-110.1768,118.1333,312.5813,389.1811,252.7051,-15.23047,-161.541,
-219.5519,-268.7656,-247.7568,-126.6289,47.21191,232.1467,353.3574,272.3506,89.22266,-131.6191,
216.4863,-43.81738,-276.501,-361.8716,-345.8779,-245.8926,-24.58887,218.0903,428.4664,435.4722,
157.6304,370.5123,433.4951,283.9775,28.2666,-205.832,-345.7136,-365.6919,-290.1816,-66.46973,
418.7678,413.331,180.042,-100.9102,-298.6841,-372.3598,-339.9238,-216.6357,29.31836,287.0942,
-378.4558,-351.1455,-146.8604,81.79102,318.96,456.4568,380.1465,148.8603,-163.791,-345.9619,
21.77246,-174.0503,-278.764,-326.1333,-262.1933,-69.77149,126.0532,314.7622,394.1338,254.1943,
-281.458,-359.1763,-322.4307,-191.3955,23.41895,262.6621,436.3774,384.6328,148.5996,-101.2168,
295.5671,440.9087,391.9248,132.0771,-143.8017,-315.1645,-393.5063,-319.5176,-169.6709,81.21094,
-113.6221,-279.5708,-334.1743,-288.9424,-145.0127,60.02735,286.9753,381.5786,333.3506,99.41895,
189.521,341.4708,347.2812,196.8271,-40.10449,-235.7275,-299.678,-302.4824,-173.0322,-24.09668,
188.8486,-117.9326,-334.1621,-415.2412,-369.457,-215.0517,40.72754,304.957,476.0364,441.2529,
-314.0679,-394.8905,-359.583,-211.7588,3.300781,271.6626,448.4824,438.1758,220.3535,-101.707,
59.73242,245.7732,357.2642,293.2529,90.62891,-121.5322,-233.574,-308.0596,-251.0488,-132.4248,
201.0557,-45.00782,-239.3696,-352.1874,-331.8799,-199.0566,-24.99316,226.3682,386.1913,378.8828,
104.1846,-116.0117,-259.0854,-323.4375,-259.5508,-138.1846,30.01465,271.0837,380.4414,310.5527,
-269.626,-365.5764,-342.3809,-223.9307,-14.99512,250.6269,409.5773,415.3818,212.9307,-72.00489,
257.0796,187.7588,7.761719,-117.4683,-197.1486,-215.2861,-162.9639,-87.96582,96.26123,231.9466,
58.48096,211.1755,282.4316,213.7578,46.11719,-113.2764,-178.9706,-219.2319,-188.5566,-111.9121,
211.7697,325.2676,247.3633,87.50781,-102.5605,-196.1799,-239.6719,-243.7656,-124.9141,35.15234,
197.1904,102.459,-9.574219,-95.11475,-150.8806,-171.3965,-153.6611,-33.62988,103.9182,210.6782,
151.1729,-21.17969,-132.5898,-209.7825,-226.1484,-162.376,-67.02442,99.38281,267.5776,300.9434,
372.5518,293.2129,110.7666,-159.3564,-280.5608,-345.7529,-289.418,-118.9717,100.1562,317.3562,
458.3506,341.3486,62.22363,-221.6123,-365.5405,-414.7553,-310.7539,-101.6299,172.209,380.1381,
3.144531,-101.3838,-162.5776,-182.0459,-203.4912,-69.14258,49.38477,241.5814,272.0459,152.4912,
-23.76709,57.49317,69.22266,95.5127,114.2493,88.16943,-4.088867,-133.8164,-157.1016,-105.842,
17.05664,84.47168,98.57715,133.1079,115.0512,29.14355,-118.2695,-165.375,-141.9092,-51.84692,
69.99219,34.63037,-13.18738,-55.88477,-149.0566,-123.9932,-48.62647,45.19128,134.8848,106.0576,
-148.355,-255.0108,-293.8975,-225.1514,-79.50586,118.1528,286.8058,358.6953,240.9473,-2.696289,
-68.73633,-229.2251,-319.505,-303.4736,-188.0586,-25.46875,199.0205,372.3002,368.2734,194.8555,
176.2178,340.8217,377.3066,237.0986,-34.8086,-227.6274,-301.2319,-307.7114,-213.5068,-46.59863,
97.92579,289.6992,354.4643,272.6455,27.8457,-152.1279,-252.9005,-288.6714,-244.8477,-104.0498,
-0.4345703,-167.5064,-259.1927,-289.0742,-221.5537,-57.76953,122.3018,305.9877,337.875,229.3516,
44.49121,225.5593,338.2915,305.4609,113.4453,-89.08301,-240.1514,-290.8784,-271.0566,-136.0391,
365.2964,340.3154,141.4756,-92.40333,-247.7551,-314.0969,-278.1152,-164.2725,17.60547,231.9619,
341.1888,384.0757,231.5566,28.7666,-207.3032,-309.9895,-307.8765,-244.3525,-57.56445,141.5049,
320.5464,215.5351,53.50879,-131.6934,-226.6094,-256.3467,-236.3311,-79.3086,80.89063,259.8108,
84.86719,260.531,314.1875,243.1924,43.67481,-145.8662,-240.5349,-249.186,-219.1914,-91.6748,
-49.48828,-211.582,-305.3706,-303.3037,-212.5225,-36.5127,199.5806,356.3716,366.3027,196.5225,
32.36719,266.3096,403.8103,394.5488,164.3896,-93.96289,-277.9067,-360.4026,-329.1494,-199.9834,
-48.49609,157.3193,328.9233,352.4082,203.2002,-5.707031,-188.5259,-289.1246,-294.6099,-215.4043,
381.2812,193.3857,-103.2324,-277.7114,-372.1733,-346.8779,-183.9795,22.6377,268.1216,418.5835,
-26.88965,-103.6885,-144.0498,-97.16504,3.790039,84.29688,68.09473,100.456,69.56983,45.61743,
-138.7187,-115.3599,-3.502808,81.73682,86.29786,76.12305,64.7627,53.91089,-16.3291,-88.89258,
75.94238,61.86719,48.81958,23.35083,-41.0459,-125.9424,-113.8652,-75.82397,43.65039,103.0459,
-100.4258,-120.3955,-78.09278,47.99463,101.8184,86.83301,52.80078,25.49707,19.4104,-35.41113,
-150.2861,-163.1362,-56.01508,42.96582,94.13672,106.2871,98.13769,93.01688,27.03027,-92.13574,
139.2627,73.89844,62.84668,11.71948,-46.60156,-103.4678,-149.1025,-92.05371,-7.918701,111.397,
38.35938,-46.75683,-133.3877,-115.1885,-64.11401,50.23828,105.3516,87.98144,47.78125,29.71216,
15.58252,-50.75757,-74.36426,-121.7061,-111.6787,-19.58203,77.75879,135.3652,102.7061,46.67871,
-33.95068,-77.38379,-127.6426,-79.28125,-1.174072,93.75098,128.1807,81.43946,16.07813,-0.0300293,
127.0195,50.99805,12.65918,-14.55029,-58.83887,-83.22461,-128.2012,-58.86524,33.354,119.6367,
-118.417,-51.24243,62.2544,112.9434,80.65722,55.01074,32.83789,19.34644,-53.3457,-140.0635,
73.10156,117.5605,87.35254,47.01562,37.71899,-10.90234,-112.3584,-139.1494,-100.8076,0.4852295,
-20.44605,-91.8457,-154.7392,-103.6621,-19.61548,87.85352,144.252,103.1455,55.06836,0.02514648,
34.21436,-14.46143,-95.02051,-127.7373,-108.7861,-45.00732,59.66553,133.2246,118.9404,44.98828,
-89.00195,-149.7695,-100.5156,-20.3794,109.1611,127.5937,75.36231,55.1084,12.97315,-20.56738,
42.03076,134.4297,96.2793,67.44531,37.86108,15.55908,-74.83789,-146.6855,-126.8486,-45.26343,
12.88892,-66.52539,-95.60938,-163.959,-100.3691,10.90625,135.3262,164.4053,66.75488,36.16553,
94.11133,82.66504,71.53809,69.33179,7.145508,-78.51953,-156.0713,-122.9453,-46.73975,79.44678,
-47.58985,-108.8145,-156.9434,-80.33643,27.4812,86.79297,101.0176,71.14648,83.54004,23.72217,
24.61597,-58.56055,-102.5391,-134.0039,-52.94141,70.79102,122.9648,74.94531,46.41211,8.346191,
11.57202,78.08887,93.35742,125.3242,116.7837,29.01782,-50.49805,-158.7637,-139.7314,-105.1863,
-167.6885,-104.415,-18.60962,69.44726,106.9277,97.88867,97.61475,68.81445,-14.24316,-135.7246,
85.01831,41.69824,-48.16602,-132.7969,-169.7461,-85.6084,16.70947,95.57227,101.2031,96.15137,
-150.7129,-136.6455,-79.02722,29.4707,90.56152,82.71192,112.6426,78.03467,34.53125,-61.5625,
-112.3711,-162.4453,-150.6797,-29.09717,44.10645,72.57422,118.6494,110.8813,98.29981,10.09766,
97.98438,88.04969,21.84082,-57.15528,-141.0273,-116.1865,-84.25171,23.95654,89.95215,76.82422,
-155.0093,-70.33374,32.22949,82.94044,108.9883,132.2144,111.5386,26.97949,-122.7373,-146.7861,
-72.74805,-150.4043,-163.2612,-75.69013,43.01563,79.95215,107.6074,111.4639,94.89105,25.1875,
-9.202148,58.59863,87.69141,141.8726,134.2738,51.79297,-49.00586,-164.1006,-173.2803,-78.68188,
155.4394,159.7498,85.61719,-82.06347,-206.0693,-220.8423,-105.155,0.9799805,84.65723,127.6631,
123.9717,138.0229,129.4194,10.65137,-112.4189,-162.3789,-149.4309,-79.82764,26.94434,75.0127,
-103.1865,-166.7812,-121.5549,-16.4248,57.23828,92.59277,81.18555,102.9614,75.82959,-1.832031,
62.37451,-39.76465,-132.4443,-144.4824,-90.3794,12.22021,58.35938,87.03809,92.0752,94.97314,
-54.40625,-175.3291,-183.9565,-102.0358,-19.00293,72.40625,101.3291,132.957,142.0343,86.00342,
42.88476,113.4248,160.3657,153.8992,52.3711,-85.29101,-156.8301,-177.7734,-109.3043,6.223633,
-40.4834,-157.9902,-215.9219,-148.5841,-62.96729,51.89063,122.3965,153.3276,188.9901,109.376,
100.1924,165.29,189.7867,115.3481,-35.44336,-157.3945,-197.4932,-149.9945,-53.5503,23.24023,
-246.3774,-166.4276,-59.61719,57.92871,148.9971,206.374,214.4236,106.6191,-73.93066,-187.9951,
110.834,-94.10743,-184.4668,-191.8843,-110.1536,4.575195,75.51367,106.8721,145.2896,137.5613,
118.1841,-32.98926,-183.3105,-224.3818,-145.3484,-52.38867,45.78809,115.1074,189.1797,170.1484,
-208.3599,-133.5143,-24.27246,43.29785,130.126,159.7676,184.9166,92.68018,-66.89063,-177.7197,
159.533,9.570313,-128.5918,-196.7588,-165.8318,-84.93555,29.02344,86.18555,136.3525,155.4248,
210.9224,131.6802,-37.88965,-176.7217,-225.3701,-162.5151,-60.27539,30.2959,111.1269,178.7759,
-197.7461,-208.9785,-102.3955,1.807617,74.27148,144.3408,173.5688,147.9912,60.78711,-93.67676,
-97.69626,15.1958,69.44824,99.80469,123.145,119.4892,46.59814,-64.65137,-170.0059,-141.3472,
38.24707,79.31738,110.2764,131.3386,108.7295,-4.043945,-133.1143,-163.0781,-131.1316,-36.52539,
-177.1108,-77.4353,-9.87207,59.83887,100.8867,154.1128,138.437,59.87793,-81.83887,-166.8877,
-191.3603,-139.5284,-31.33154,30.95117,87.82031,138.7637,144.9308,113.7393,-7.547852,-146.4131,
175.4708,96.73731,-61.20605,-164.5703,-194.998,-135.2666,-23.53271,43.40918,106.7734,157.1997,
-92.47314,17.45215,53.88477,93.14258,86.78418,110.6724,53.75244,-48.67774,-126.9395,-147.583,
149.9619,59.74121,-101.8496,-187.0664,-174.8345,-80.75488,12.46289,80.05274,106.2695,136.0366,
-95.51661,-188.376,-184.4128,-89.14161,6.011719,81.71973,113.5791,158.6152,161.342,36.19141,
-56.7959,32.00488,97.09765,197.2788,190.68,99.19922,-35.59961,-160.6943,-221.874,-141.2756,
25.48633,91.74415,134.3828,157.2683,121.354,-4.079102,-131.3369,-180.9766,-165.8638,-47.94434,
62.64062,154.1045,233.033,203.3059,57.13477,-129.8437,-214.3086,-224.2407,-135.511,-6.339844,
-98.50879,-161.5762,-154.2681,-56.82284,54.77539,114.3057,122.3721,95.06446,80.61752,4.021484,
71.65332,118.8721,183.6426,175.5635,66.34766,-88.24707,-214.4678,-191.2383,-105.1589,-16.94238,
-47.68457,-133.0059,-193.0825,-125.0467,-34.08643,61.09082,103.4121,137.4878,156.4531,74.49219,
140.5461,86.46631,-28.78906,-127.5195,-161.8066,-128.5452,-18.46582,51.79004,65.51953,120.8066,
110.333,-25.9541,-132.8193,-181.7632,-157.9297,-32.73828,25.54785,107.4131,130.356,157.5279,
-150.666,-132.6201,-7.145752,70.25196,85.14551,115.0703,104.0227,59.55396,-21.8457,-121.7393,
116.0703,152.0227,110.554,1.154297,-152.7392,-167.6621,-166.6155,-54.14649,59.25195,102.1455,
80.41699,118.7598,145.135,106.6191,4.727539,-130.6201,-168.9629,-157.3396,-43.81836,45.07129,
84.56738,90.31738,121.1829,67.64209,-13.79297,-111.5674,-176.3164,-103.1875,0.359375,40.79297,
67.67578,75.75195,90.97999,89.40308,22.20117,-119.2695,-149.3437,-115.5781,-13.99561,52.20605,
-85.58789,-167.127,-168.0703,-81.6012,35.92871,76.58789,115.127,108.0708,128.5996,38.07178,
-27.58203,46.28516,89.79785,135.7388,144.4043,88.78222,-44.08301,-154.5957,-171.5308,-107.2001,
141.5576,211.6323,184.7414,80.77637,-86.38867,-186.5586,-223.6287,-143.7378,-19.77539,41.38867,
-3.704102,-158.79,-233.9683,-216.3628,-80.88233,-6.092773,103.9932,221.1699,229.5653,145.0869,
137.5283,-49.48633,-195.1846,-268.5034,-182.1302,-60.12158,48.89258,140.5908,213.9087,214.5378,
63.67774,132.5019,210.2612,209.7324,64.79394,-84.67773,-207.5029,-236.2651,-137.7341,-14.79395,
197.2373,259.6899,220.9294,64.41211,-132.8574,-241.8281,-278.28,-177.5195,-12.00488,100.2637,
-286.7744,-204.6411,-49.02637,86.19239,207.249,296.5732,257.4394,70.82129,-139.3955,-238.4492,
-305.4712,-270.8982,-126.189,10.74902,161.4082,262.2642,310.6968,205.9917,-34.95117,-213.6123,
67.79785,179.7519,249.6179,204.3022,57.4336,-128.2041,-234.1572,-238.0286,-129.7075,-28.83984,
-68.17578,-216.25,-287.4844,-212.9019,-83.69824,39.76953,175.8447,261.0767,251.4951,140.293,
-13.55469,107.0801,210.0918,245.0668,168.0015,-11.64844,-155.2822,-248.2988,-204.2631,-97.2041,
304.7165,212.4853,27.50977,-164.0723,-271.9146,-250.9187,-149.687,-13.71289,96.86914,208.71,
243.9148,127.2119,-84.88574,-186.2656,-223.7822,-171.3201,-54.61816,23.47949,130.8584,195.3779,
246.0227,95.70704,-76.51758,-228.6465,-258.0454,-179.2219,-51.91016,63.31445,148.4434,240.8413,
-274.1645,-226.319,-99.07715,4.493164,124.3213,207.9629,261.112,172.8755,-12.69531,-158.5244,
23.77441,141.4219,235.0117,240.8191,146.4531,-43.77441,-192.4228,-277.0156,-193.8208,-80.45508,
303.3914,223.1221,74.86719,-128.6084,-274.3457,-283.5938,-165.3242,-45.06934,90.40527,205.1406,
246.8467,275.7136,189.3984,17.5293,-165.1025,-281.0508,-272.9131,-134.5977,5.267578,118.8984,
269.8965,184.86,-1.197754,-213.8467,-316.4775,-313.4897,-140.4527,68.60498,206.2529,255.8838,
270.1455,93.90289,-134.8477,-387.4668,-431.6562,-322.7388,-52.49847,213.2524,374.874,377.0635,
-206.2891,-367.0195,-374.3066,-195.0452,56.03174,244.29,317.0195,299.3066,202.043,23.96875,
235.1675,477.3486,526.5469,432.5713,157.8026,-181.9683,-469.1465,-579.3457,-448.3691,-150.6012,
-1465.089,-1672.703,-1211.967,-313.8686,705.6933,1433.494,1620.106,1238.369,351.2666,-685.289,
-1502.438,-620.9409,449.748,1360.462,1729.815,1484.643,661.1457,-417.541,-1363.259,-1781.61,
1613.39,1029.262,1.853027,-999.9277,-1638.906,-1625.389,-977.2607,41.14746,981.9277,1573.906,
-243.8467,932.8144,1690.368,1897.245,1366.041,280.8486,-942.8164,-1732.37,-1921.242,-1327.042,
-2225.688,-861.6531,762.3125,2106.486,2620.813,2186.892,898.8582,-741.1035,-2084.284,-2662.61,
-2759.309,-2100.559,-566.0746,1184.092,2458.114,2753.715,2044.966,597.477,-1156.685,-2455.708,
2309.193,844.1568,-994.9009,-2431.55,-2907.181,-2351.193,-828.1558,1030.902,2444.55,2884.181,
1203.959,2387.439,2814.763,2092.073,579.6778,-1179.165,-2402.642,-2841.969,-2099.272,-554.8828,
2241.789,1262.854,-228.3545,-1595.351,-2424.223,-2286.382,-1225.447,249.7612,1611.757,2393.629,
-1671.685,-2330.006,-2069.082,-967.0466,453.9135,1697.091,2289.412,2022.488,993.453,-418.5078,
-1232.727,155.7642,1466.753,2218.129,2128.968,1251.926,-121.5644,-1466.549,-2234.924,-2165.762,
-2357.647,-1794.12,-569.9206,906.5381,1989.991,2245.645,1792.116,598.9223,-853.5459,-1957.991,
243.6992,1537.236,2237.588,2111.03,1216.475,-209.7021,-1498.236,-2301.589,-2144.026,-1192.474,
2198.712,2142.643,1258.023,-120.4687,-1416.562,-2237.712,-2179.644,-1243.031,148.4678,1449.562,
310.1484,1565.944,2268.896,2080.003,1084.501,-294.9438,-1572.74,-2285.692,-2093.794,-1062.297,
2047.688,2242.055,1620.171,378.2195,-1001.289,-2058.094,-2286.459,-1629.579,-332.6218,1019.885,
-2267.509,-1488.441,-184.7085,1233.461,2095.445,2233.917,1490.849,184.1216,-1204.057,-2093.039,
-2122.222,-2288.568,-1526.944,-192.4253,1234.469,2100.816,2236.16,1520.538,231.0176,-1192.874,
-1791.735,-559.9124,877.7763,1943.954,2290.895,1765.534,570.711,-839.9815,-1931.157,-2326.098,
-2293.008,-1831.49,-667.3615,711.0503,1822.825,2244.806,1824.288,708.1659,-674.2485,-1845.028,
1746.135,597.3126,-861.3799,-1966.556,-2347.496,-1770.134,-567.3144,909.3789,1958.557,2301.496,
-921.4697,-1988.808,-2236.78,-1683.678,-398.3428,964.2656,1971.605,2194.576,1662.476,436.1399,
1809.005,2254.098,1872.279,778.68,-659.8008,-1815.6,-2301.692,-1914.874,-727.2698,705.2109,
488.9263,-927.0068,-1994.226,-2313.216,-1692.122,-450.3315,948.5996,1989.819,2265.809,1683.718,
-2354.466,-1877.774,-682.3792,754.4595,1870.938,2309.263,1855.568,701.1778,-710.6699,-1866.142,
1889.116,2270.636,1785.0,618.592,-789.3877,-1906.117,-2311.636,-1807.001,-590.5881,841.3906,
1901.277,825.4224,-601.8154,-1782.39,-2303.222,-1914.87,-788.0151,617.2226,1780.796,2265.628,
-814.6071,633.4639,1790.766,2261.436,1928.137,834.4057,-570.666,-1822.967,-2296.637,-1943.341,
-446.6128,-1666.786,-2285.107,-1993.179,-942.1453,490.8144,1681.991,2244.311,1963.383,953.3515,
1460.14,166.6191,-1186.273,-2132.62,-2248.971,-1462.343,-130.8237,1201.068,2117.417,2215.765,
-2174.313,-1445.245,-82.51319,1206.656,2117.64,2146.112,1410.044,123.3169,-1176.861,-2124.844,
1902.759,2256.695,1707.333,546.5158,-846.1767,-1927.353,-2272.29,-1730.929,-519.1056,882.5859,
